Instance,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000
eil101.tsp,2979,2937,741,694,694,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693
eil101.tsp,3093,3015,755,705,693,693,693,693,693,693,693,693,693,687,687,687,687,687,687,687,687
eil101.tsp,2973,2990,751,703,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692
eil101.tsp,3085,3028,745,689,689,689,687,686,686,686,686,686,686,686,686,684,684,684,684,684,684
eil101.tsp,3090,2976,731,690,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676
eil101.tsp,3086,3083,745,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686
eil101.tsp,3118,2938,759,717,717,717,717,717,717,717,717,717,708,708,708,708,708,708,708,708,708
eil101.tsp,3176,3014,759,699,698,692,692,692,692,692,692,692,692,692,692,692,683,683,683,683,683
eil101.tsp,3095,3022,730,693,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688
eil101.tsp,2989,2989,775,702,697,691,686,686,686,686,686,686,686,681,681,681,681,681,681,681,681
eil101.tsp,2978,2920,747,709,706,706,706,706,706,706,706,706,692,692,692,692,691,691,691,691,688
eil101.tsp,3160,3048,737,706,702,702,702,702,702,702,700,700,700,700,700,700,700,700,700,696,694
eil101.tsp,3120,3015,725,688,683,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679
eil101.tsp,3168,3003,723,703,703,703,700,700,700,700,700,700,700,700,700,700,700,700,700,700,695
eil101.tsp,3088,2984,726,683,683,683,683,683,683,683,683,683,683,683,683,683,683,683,683,683,683
eil101.tsp,3186,3019,736,703,700,700,700,700,700,700,700,700,700,696,696,696,696,696,696,696,696
eil101.tsp,3042,2968,701,684,684,684,684,684,684,684,684,684,684,684,684,684,684,684,684,684,684
eil101.tsp,3168,3067,739,692,692,692,692,692,691,691,691,691,691,691,683,677,677,677,677,677,677
eil101.tsp,3036,3016,741,715,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707
eil101.tsp,3012,3000,727,711,711,711,707,707,707,707,707,707,707,707,707,707,707,707,704,704,704
eil101.tsp,3014,2919,766,712,710,710,710,710,710,710,710,710,710,710,710,710,710,710,710,710,710
eil101.tsp,3075,3066,732,704,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697
eil101.tsp,3050,2961,727,703,701,701,701,701,701,701,701,698,697,697,689,689,689,689,689,689,689
eil101.tsp,3130,2957,745,700,690,689,689,683,683,683,683,683,683,683,683,683,683,683,683,683,683
eil101.tsp,3077,2894,734,714,711,709,709,709,709,708,708,707,707,700,700,700,700,700,700,700,700
eil101.tsp,3126,3057,733,698,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697
eil101.tsp,3076,3033,743,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682
eil101.tsp,3076,3018,752,686,686,686,686,686,686,683,683,683,683,683,683,683,683,683,683,683,683
eil101.tsp,3081,2911,719,697,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688
eil101.tsp,3089,2958,764,727,722,722,722,722,722,722,722,722,722,722,720,720,720,718,718,718,718
,,,,,,,,,,,,,,,,,,,,,
eil51.tsp,1404,1400,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
eil51.tsp,1431,1333,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465
eil51.tsp,1424,1303,460,460,460,460,458,452,452,452,452,452,452,452,452,452,452,452,452,452,452
eil51.tsp,1381,1342,467,467,467,467,467,467,467,467,467,467,467,456,456,456,456,456,456,456,456
eil51.tsp,1442,1382,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472
eil51.tsp,1319,1299,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453
eil51.tsp,1337,1273,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467
eil51.tsp,1426,1417,465,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
eil51.tsp,1417,1394,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442
eil51.tsp,1423,1342,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443
eil51.tsp,1385,1345,464,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455
eil51.tsp,1424,1381,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
eil51.tsp,1459,1408,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433
eil51.tsp,1404,1335,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464
eil51.tsp,1344,1322,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437
eil51.tsp,1374,1270,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465
eil51.tsp,1487,1413,452,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446
eil51.tsp,1425,1387,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442
eil51.tsp,1482,1357,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
eil51.tsp,1343,1323,467,467,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465
eil51.tsp,1364,1377,466,466,466,466,466,466,466,466,466,465,465,465,465,465,465,465,465,465,465
eil51.tsp,1447,1409,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452
eil51.tsp,1419,1372,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
eil51.tsp,1435,1356,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456
eil51.tsp,1439,1360,453,452,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444
eil51.tsp,1398,1398,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451
eil51.tsp,1475,1323,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446
eil51.tsp,1427,1383,462,462,462,462,462,462,459,459,459,459,459,459,459,459,459,459,459,459,459
eil51.tsp,1425,1374,462,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455
eil51.tsp,1373,1330,453,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444
,,,,,,,,,,,,,,,,,,,,,
eil76.tsp,2229,2209,600,600,600,600,600,600,600,600,600,600,600,600,600,599,599,599,599,599,599
eil76.tsp,2190,2134,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592
eil76.tsp,2169,2154,593,583,583,583,583,583,583,583,583,583,583,583,583,583,583,571,571,571,571
eil76.tsp,2269,2232,595,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583
eil76.tsp,2247,2175,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,584,584,584
