Instance,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000
eil101.tsp,3083,3083,1610,1184,967,810,758,700,676,668,663,654,646,646,646,646,646,645,645,645,645
eil101.tsp,3071,3071,1648,1200,985,846,776,736,696,677,670,660,654,654,651,651,649,649,645,645,643
eil101.tsp,3152,3067,1626,1211,964,811,745,721,684,675,667,660,654,654,647,644,644,644,644,644,644
eil101.tsp,3092,3092,1674,1204,996,849,752,712,689,677,664,657,657,657,653,652,649,649,649,648,647
eil101.tsp,3152,3142,1665,1244,959,830,761,717,693,672,663,661,661,658,651,651,651,648,647,647,647
eil101.tsp,3098,3086,1624,1219,902,803,747,695,674,664,658,648,647,646,646,645,644,641,641,641,641
eil101.tsp,3137,3137,1609,1196,963,813,759,721,685,675,668,659,648,648,648,647,647,647,647,644,641
eil101.tsp,3027,3027,1677,1225,1004,822,758,708,686,682,670,660,656,654,653,649,649,649,648,648,648
eil101.tsp,3148,3148,1570,1181,974,821,762,722,693,678,668,662,659,654,648,648,645,645,645,645,643
eil101.tsp,3051,3051,1665,1247,944,828,756,714,688,670,669,662,660,657,655,646,641,641,641,641,641
eil101.tsp,3001,2967,1638,1180,948,802,751,712,681,672,656,653,653,649,648,647,644,644,643,643,643
eil101.tsp,2999,2999,1675,1175,971,853,745,713,687,670,655,649,648,648,648,648,648,648,648,648,648
eil101.tsp,3209,3093,1597,1163,957,805,737,701,682,672,664,664,654,651,651,650,650,648,647,647,646
eil101.tsp,3005,3005,1635,1198,977,841,777,721,697,673,668,657,653,652,652,646,646,644,643,642,642
eil101.tsp,3112,3111,1666,1235,967,823,752,723,693,659,657,653,653,653,651,650,647,647,647,645,645
eil101.tsp,3080,3080,1633,1146,976,818,773,724,690,673,666,656,652,651,650,650,647,647,646,646,646
eil101.tsp,3110,3110,1609,1234,970,832,758,718,683,672,663,656,656,648,648,648,645,645,645,640,638
eil101.tsp,3151,3080,1628,1215,967,827,742,697,684,678,658,658,657,650,647,645,645,645,645,645,645
eil101.tsp,2942,2942,1650,1167,969,837,767,714,693,674,660,657,649,649,649,649,647,644,644,643,642
eil101.tsp,3104,3008,1680,1218,970,821,754,707,692,681,671,664,654,654,652,652,651,651,651,647,647
eil101.tsp,3006,2962,1657,1234,1018,859,777,711,679,672,665,658,651,650,650,646,646,646,646,646,645
eil101.tsp,3077,3077,1644,1249,948,833,752,698,673,668,658,656,643,643,643,643,643,643,643,643,643
eil101.tsp,3015,3015,1634,1214,942,821,745,694,683,674,665,661,658,654,652,652,652,649,647,646,646
eil101.tsp,3098,3095,1696,1196,1000,834,761,717,697,677,665,663,662,659,653,653,653,653,653,652,650
eil101.tsp,3082,3082,1645,1213,955,826,768,700,689,670,662,656,655,652,652,652,648,645,645,643,643
eil101.tsp,3115,3115,1707,1256,941,862,755,726,682,668,659,654,651,651,647,647,647,647,644,644,644
eil101.tsp,3036,3036,1643,1240,978,837,736,697,684,668,658,652,652,647,647,647,647,641,641,641,640
eil101.tsp,3127,3127,1590,1148,937,814,739,701,679,674,659,658,652,652,652,651,651,651,648,648,648
eil101.tsp,3086,3086,1669,1244,974,850,776,700,680,665,656,653,643,643,642,641,639,639,639,639,639
eil101.tsp,3173,3168,1641,1221,995,833,755,707,688,675,668,661,658,658,658,656,650,650,650,649,646
,,,,,,,,,,,,,,,,,,,,,
eil51.tsp,1425,1425,591,468,433,433,432,432,432,431,431,431,431,431,428,428,428,428,428,428,427
eil51.tsp,1485,1485,603,454,438,435,428,428,428,427,427,427,427,427,427,427,427,427,427,426,426
eil51.tsp,1365,1365,586,471,436,432,431,431,430,430,430,430,430,426,426,426,426,426,426,426,426
eil51.tsp,1462,1353,614,466,436,428,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
eil51.tsp,1475,1395,590,462,440,439,429,427,427,427,427,427,427,427,426,426,426,426,426,426,426
eil51.tsp,1381,1381,573,475,439,435,432,429,429,429,429,429,427,427,427,427,427,427,427,427,427
eil51.tsp,1414,1406,602,460,442,431,429,428,428,428,428,427,426,426,426,426,426,426,426,426,426
eil51.tsp,1483,1467,589,465,433,428,428,428,428,428,428,428,427,427,427,427,427,427,427,427,427
eil51.tsp,1418,1390,573,474,441,435,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
eil51.tsp,1418,1418,583,463,445,436,432,430,430,428,428,428,428,427,427,427,427,427,427,427,427
eil51.tsp,1483,1474,586,463,432,432,432,427,427,427,427,427,427,427,427,427,427,427,427,427,427
eil51.tsp,1282,1282,568,467,443,436,436,435,430,430,430,430,430,430,430,428,428,428,428,428,428
eil51.tsp,1485,1445,595,471,444,434,430,429,429,429,429,429,429,429,429,429,429,429,429,429,429
eil51.tsp,1407,1399,559,459,441,433,433,431,428,428,428,428,428,428,428,428,428,428,428,428,428
eil51.tsp,1411,1411,582,465,448,435,435,433,430,430,430,430,430,430,430,430,430,430,430,430,430
eil51.tsp,1471,1471,556,474,445,436,429,429,428,428,428,428,428,428,428,428,428,428,428,428,428
eil51.tsp,1446,1446,600,469,437,435,433,433,428,428,428,428,428,428,428,428,428,428,428,428,428
eil51.tsp,1408,1408,602,468,439,438,434,433,429,429,429,428,428,428,428,428,428,427,427,427,427
eil51.tsp,1524,1509,602,470,446,436,430,430,430,429,428,428,428,428,428,428,428,428,428,428,428
eil51.tsp,1471,1471,591,464,439,435,431,431,431,430,430,429,429,429,429,429,429,429,429,429,429
eil51.tsp,1479,1479,577,459,437,429,429,429,429,429,429,429,429,429,429,429,429,427,427,427,427
eil51.tsp,1432,1401,589,478,454,438,434,427,427,427,427,427,427,427,427,427,426,426,426,426,426
eil51.tsp,1403,1403,558,462,437,435,435,434,429,427,426,426,426,426,426,426,426,426,426,426,426
eil51.tsp,1374,1374,586,469,439,428,428,428,428,428,428,427,427,427,427,427,427,427,427,427,427
eil51.tsp,1408,1408,586,464,434,434,434,431,431,428,428,428,428,428,428,428,428,428,427,427,427
eil51.tsp,1427,1427,593,458,441,432,429,427,427,427,427,427,427,427,427,427,427,427,427,426,426
eil51.tsp,1414,1414,579,461,441,431,430,430,430,430,430,430,430,430,430,430,430,429,429,429,429
eil51.tsp,1445,1445,569,456,438,435,430,428,428,428,428,428,428,428,428,428,428,428,428,428,428
