Benchmark,Best,Average,StdDev
a280_n1395_bounded-strongly-corr_,30329185,-645951,10914649
a280_n1395_uncorr-similar-weights_,11206481,-776321,4646978
a280_n1395_uncorr_,2072463,-3346255,2263192
a280_n2790_bounded-strongly-corr_,5285084,-8899985,7075040
a280_n2790_uncorr-similar-weights_,14302388,-497176491,588939737
a280_n2790_uncorr_,2231553,-7079196,7187598
a280_n279_bounded-strongly-corr_,382765,-773076,557673
a280_n279_uncorr-similar-weights_,975218,-237885,548501
a280_n279_uncorr_,238280,-486927,525884
a280_n837_bounded-strongly-corr_,7810078,-900405,3990424
a280_n837_uncorr-similar-weights_,731643,-1532588,1059667
a280_n837_uncorr_,1251221,-1734934,2103123
fnl4461_n22300_uncorr-similar-weights_,-59941592,-59941592,0
fnl4461_n44600_uncorr_,-46750923,-46750923,0
fnl4461_n4460_bounded-strongly-corr_,3108182,3108182,0
pla33810_n169045_uncorr-similar-weights_,-204307268,-204307268,0
pla33810_n338090_uncorr_,-139619371,-139619371,0
pla33810_n33809_bounded-strongly-corr_,21050115,21050115,0
